,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
325,NIFTY PVT BANK,09 Feb 2022,19285.35,19500.4,19248.2,19479.7
326,NIFTY PVT BANK,08 Feb 2022,19222.6,19236.6,18795.95,19159.65
327,NIFTY PVT BANK,07 Feb 2022,19472.95,19602.05,19032.9,19132.0
328,NIFTY PVT BANK,04 Feb 2022,19721.35,19804.7,19462.0,19589.85
329,NIFTY PVT BANK,03 Feb 2022,19823.3,19886.85,19589.85,19668.95
330,NIFTY PVT BANK,02 Feb 2022,19576.15,19884.8,19531.5,19857.15
331,NIFTY PVT BANK,01 Feb 2022,19273.6,19503.6,18986.65,19405.4
332,NIFTY PVT BANK,31 Jan 2022,19256.05,19300.6,18916.6,19037.15
333,NIFTY PVT BANK,28 Jan 2022,19261.75,19386.45,18971.15,19020.6
334,NIFTY PVT BANK,27 Jan 2022,18741.65,19221.2,18672.7,19132.9
335,NIFTY PVT BANK,25 Jan 2022,18467.85,19078.85,18379.15,19036.05
336,NIFTY PVT BANK,24 Jan 2022,18966.45,19005.05,18333.0,18643.6
337,NIFTY PVT BANK,21 Jan 2022,18948.1,19032.45,18755.0,18929.55
338,NIFTY PVT BANK,20 Jan 2022,19239.35,19278.9,18972.2,19105.1
339,NIFTY PVT BANK,19 Jan 2022,19299.8,19393.15,19120.4,19209.75
340,NIFTY PVT BANK,18 Jan 2022,19418.35,19674.25,19275.55,19334.6
341,NIFTY PVT BANK,17 Jan 2022,19376.1,19558.85,19316.1,19353.0
342,NIFTY PVT BANK,14 Jan 2022,19393.15,19493.95,19254.6,19450.65
343,NIFTY PVT BANK,13 Jan 2022,19620.15,19620.15,19435.75,19493.6
344,NIFTY PVT BANK,12 Jan 2022,19571.9,19643.35,19502.65,19613.95
345,NIFTY PVT BANK,11 Jan 2022,19430.1,19485.25,19224.25,19419.75
346,NIFTY PVT BANK,10 Jan 2022,19211.5,19434.45,19208.25,19410.45
347,NIFTY PVT BANK,07 Jan 2022,19092.25,19317.55,18953.35,19113.55
348,NIFTY PVT BANK,06 Jan 2022,18855.75,19123.1,18743.95,18998.0
349,NIFTY PVT BANK,05 Jan 2022,18729.4,19153.1,18629.25,19078.5
350,NIFTY PVT BANK,04 Jan 2022,18604.9,18720.95,18481.15,18682.2
351,NIFTY PVT BANK,03 Jan 2022,18090.15,18567.4,18044.6,18531.85
352,NIFTY PVT BANK,31 Dec 2021,17871.3,18112.95,17870.6,18041.85
353,NIFTY PVT BANK,30 Dec 2021,17802.65,17907.85,17692.95,17854.8
354,NIFTY PVT BANK,29 Dec 2021,17857.7,17996.05,17767.4,17844.5
355,NIFTY PVT BANK,28 Dec 2021,17927.75,17948.6,17777.8,17864.95
356,NIFTY PVT BANK,27 Dec 2021,17541.0,17839.1,17348.3,17793.9
357,NIFTY PVT BANK,24 Dec 2021,17968.5,17983.95,17587.4,17733.0
358,NIFTY PVT BANK,23 Dec 2021,18008.0,18077.15,17842.1,17910.75
359,NIFTY PVT BANK,22 Dec 2021,17758.6,17896.6,17667.3,17853.95
360,NIFTY PVT BANK,21 Dec 2021,17732.25,17839.65,17506.5,17628.6
361,NIFTY PVT BANK,20 Dec 2021,17908.85,17935.85,17298.5,17527.95
362,NIFTY PVT BANK,17 Dec 2021,18595.6,18626.55,18081.75,18122.7
363,NIFTY PVT BANK,16 Dec 2021,18917.15,18943.35,18544.25,18624.85
364,NIFTY PVT BANK,15 Dec 2021,18828.95,18913.4,18739.45,18761.55
365,NIFTY PVT BANK,14 Dec 2021,18761.35,18881.15,18629.7,18817.75
366,NIFTY PVT BANK,13 Dec 2021,19052.2,19159.35,18816.55,18842.6
367,NIFTY PVT BANK,10 Dec 2021,18927.2,18961.55,18794.8,18910.35
368,NIFTY PVT BANK,09 Dec 2021,19019.15,19049.75,18791.8,18909.05
369,NIFTY PVT BANK,08 Dec 2021,18926.7,19056.25,18822.35,18985.1
370,NIFTY PVT BANK,07 Dec 2021,18428.3,18791.4,18386.25,18694.1
371,NIFTY PVT BANK,06 Dec 2021,18533.6,18552.2,18224.95,18241.65
372,NIFTY PVT BANK,03 Dec 2021,18644.6,18818.4,18434.5,18500.7
373,NIFTY PVT BANK,02 Dec 2021,18528.15,18672.85,18465.5,18642.0
374,NIFTY PVT BANK,01 Dec 2021,18323.8,18602.05,18272.25,18566.5
375,NIFTY PVT BANK,30 Nov 2021,18337.55,18780.0,18129.45,18213.85
376,NIFTY PVT BANK,29 Nov 2021,18526.45,18533.3,18071.25,18348.2
377,NIFTY PVT BANK,26 Nov 2021,18835.9,18860.95,18317.75,18384.45
378,NIFTY PVT BANK,25 Nov 2021,19121.45,19189.7,18965.65,19119.8
379,NIFTY PVT BANK,24 Nov 2021,19118.7,19383.4,19034.9,19153.65
380,NIFTY PVT BANK,23 Nov 2021,18839.05,19153.3,18773.3,19064.1
381,NIFTY PVT BANK,22 Nov 2021,19569.25,19576.55,18792.4,19028.4
382,NIFTY PVT BANK,18 Nov 2021,19550.1,19631.45,19329.65,19418.5
383,NIFTY PVT BANK,17 Nov 2021,19604.45,19758.6,19512.95,19542.2
384,NIFTY PVT BANK,16 Nov 2021,19898.45,19915.35,19655.2,19704.0
385,NIFTY PVT BANK,15 Nov 2021,19955.45,20084.7,19830.9,19896.15
386,NIFTY PVT BANK,12 Nov 2021,19881.15,19938.4,19771.45,19890.05
387,NIFTY PVT BANK,11 Nov 2021,19934.3,19943.15,19677.3,19800.1
388,NIFTY PVT BANK,10 Nov 2021,20104.25,20110.95,19938.05,19985.7
389,NIFTY PVT BANK,09 Nov 2021,20252.3,20300.6,20074.8,20176.0
390,NIFTY PVT BANK,08 Nov 2021,20363.65,20363.65,19958.4,20198.9
391,NIFTY PVT BANK,04 Nov 2021,20454.2,20459.05,20370.6,20393.2
392,NIFTY PVT BANK,03 Nov 2021,20716.8,20765.6,20220.6,20295.8
393,NIFTY PVT BANK,02 Nov 2021,20584.55,20771.7,20478.65,20676.1
394,NIFTY PVT BANK,01 Nov 2021,20338.35,20618.15,20187.1,20568.45
395,NIFTY PVT BANK,29 Oct 2021,20419.75,20531.4,19883.35,20192.2
396,NIFTY PVT BANK,28 Oct 2021,21137.3,21157.95,20405.8,20482.95
397,NIFTY PVT BANK,27 Oct 2021,21376.3,21383.25,21012.0,21079.3
398,NIFTY PVT BANK,26 Oct 2021,21338.05,21467.8,21137.55,21373.1
399,NIFTY PVT BANK,25 Oct 2021,21308.45,21719.3,21071.9,21404.25
400,NIFTY PVT BANK,22 Oct 2021,20839.8,21035.6,20802.4,20951.8
401,NIFTY PVT BANK,21 Oct 2021,20555.2,20840.85,20431.2,20747.4
402,NIFTY PVT BANK,20 Oct 2021,20525.45,20584.4,20386.45,20487.25
403,NIFTY PVT BANK,19 Oct 2021,20758.35,20781.25,20465.2,20531.15
404,NIFTY PVT BANK,18 Oct 2021,20707.2,20774.1,20577.05,20628.45
405,NIFTY PVT BANK,14 Oct 2021,20148.2,20478.4,20119.9,20456.4
406,NIFTY PVT BANK,13 Oct 2021,20137.95,20176.35,20032.95,20113.65
407,NIFTY PVT BANK,12 Oct 2021,19886.3,20084.1,19853.65,20025.45
408,NIFTY PVT BANK,11 Oct 2021,19750.7,20092.8,19732.05,19955.75
409,NIFTY PVT BANK,08 Oct 2021,19785.05,19889.45,19706.85,19764.3
410,NIFTY PVT BANK,07 Oct 2021,19689.55,19793.0,19613.75,19706.15
411,NIFTY PVT BANK,06 Oct 2021,19636.85,19828.35,19456.45,19497.4
412,NIFTY PVT BANK,05 Oct 2021,19453.7,19644.65,19390.55,19623.5
413,NIFTY PVT BANK,04 Oct 2021,19431.1,19575.45,19417.3,19498.65
414,NIFTY PVT BANK,01 Oct 2021,19307.5,19383.5,19180.4,19339.4
415,NIFTY PVT BANK,30 Sep 2021,19564.4,19694.4,19407.55,19447.95
416,NIFTY PVT BANK,29 Sep 2021,19634.5,19712.55,19493.05,19597.25
417,NIFTY PVT BANK,28 Sep 2021,20059.2,20062.45,19480.5,19811.8
418,NIFTY PVT BANK,27 Sep 2021,19947.05,20102.6,19891.85,19958.5
419,NIFTY PVT BANK,24 Sep 2021,19879.75,19980.65,19744.0,19835.95
420,NIFTY PVT BANK,23 Sep 2021,19539.85,19825.15,19514.85,19789.55
421,NIFTY PVT BANK,22 Sep 2021,19549.6,19580.25,19351.15,19382.2
422,NIFTY PVT BANK,21 Sep 2021,19441.2,19554.5,19086.4,19514.05
423,NIFTY PVT BANK,20 Sep 2021,19521.15,19777.6,19354.7,19399.1
424,NIFTY PVT BANK,17 Sep 2021,19809.05,19882.15,19534.6,19745.7
425,NIFTY PVT BANK,16 Sep 2021,19272.35,19732.05,19254.4,19698.5
426,NIFTY PVT BANK,15 Sep 2021,19042.25,19229.9,18998.2,19185.7
427,NIFTY PVT BANK,14 Sep 2021,18957.75,19098.75,18931.15,19066.9
428,NIFTY PVT BANK,13 Sep 2021,18952.8,19003.0,18792.05,18872.1
429,NIFTY PVT BANK,09 Sep 2021,19003.45,19067.45,18908.0,18972.65
430,NIFTY PVT BANK,08 Sep 2021,18911.2,19069.7,18853.4,19017.3
431,NIFTY PVT BANK,07 Sep 2021,18906.85,18989.8,18687.35,18869.2
432,NIFTY PVT BANK,06 Sep 2021,19091.3,19106.1,18901.05,18921.9
433,NIFTY PVT BANK,03 Sep 2021,19094.5,19228.9,18920.0,19024.15
434,NIFTY PVT BANK,02 Sep 2021,18933.45,19103.35,18874.5,19068.6
435,NIFTY PVT BANK,01 Sep 2021,18914.7,19162.35,18851.85,18923.0
436,NIFTY PVT BANK,31 Aug 2021,18785.1,18893.55,18727.7,18837.65
437,NIFTY PVT BANK,30 Aug 2021,18508.65,18809.55,18459.3,18774.65
438,NIFTY PVT BANK,27 Aug 2021,18345.1,18424.6,18241.7,18406.25
439,NIFTY PVT BANK,26 Aug 2021,18288.95,18464.85,18255.95,18373.35
440,NIFTY PVT BANK,25 Aug 2021,18431.85,18496.55,18293.7,18335.5
441,NIFTY PVT BANK,24 Aug 2021,18159.4,18451.3,18079.15,18397.45
442,NIFTY PVT BANK,23 Aug 2021,18319.8,18319.8,17984.15,18119.15
443,NIFTY PVT BANK,20 Aug 2021,18184.85,18257.25,18051.15,18120.65
444,NIFTY PVT BANK,18 Aug 2021,18725.8,18734.55,18316.45,18382.75
445,NIFTY PVT BANK,17 Aug 2021,18617.0,18658.7,18430.8,18551.1
446,NIFTY PVT BANK,16 Aug 2021,18701.75,18773.1,18660.6,18704.6
447,NIFTY PVT BANK,13 Aug 2021,18700.85,18791.2,18640.7,18736.55
448,NIFTY PVT BANK,12 Aug 2021,18618.85,18693.65,18557.15,18660.6
449,NIFTY PVT BANK,11 Aug 2021,18821.25,18827.15,18459.9,18613.8
450,NIFTY PVT BANK,10 Aug 2021,18705.6,18900.55,18684.45,18739.15
451,NIFTY PVT BANK,09 Aug 2021,18621.7,18801.8,18522.1,18748.85
452,NIFTY PVT BANK,06 Aug 2021,18601.35,18716.7,18531.85,18621.05
453,NIFTY PVT BANK,05 Aug 2021,18645.25,18687.9,18453.7,18576.7
454,NIFTY PVT BANK,04 Aug 2021,18381.35,18720.85,18351.45,18645.25
455,NIFTY PVT BANK,03 Aug 2021,18012.2,18309.15,18007.25,18290.55
456,NIFTY PVT BANK,02 Aug 2021,18055.7,18130.95,17980.7,18036.65
457,NIFTY PVT BANK,30 Jul 2021,18011.4,18062.05,17883.15,17975.85
458,NIFTY PVT BANK,29 Jul 2021,18139.0,18150.7,17964.85,18005.95
459,NIFTY PVT BANK,28 Jul 2021,18160.1,18164.85,17807.8,18023.0
460,NIFTY PVT BANK,27 Jul 2021,18324.0,18387.6,18082.35,18116.0
461,NIFTY PVT BANK,26 Jul 2021,18281.05,18386.9,18137.9,18270.8
462,NIFTY PVT BANK,23 Jul 2021,18168.3,18331.8,17987.05,18287.15
463,NIFTY PVT BANK,22 Jul 2021,18161.4,18278.6,18061.95,18126.6
464,NIFTY PVT BANK,20 Jul 2021,18192.85,18242.35,17943.7,17966.85
465,NIFTY PVT BANK,19 Jul 2021,18354.25,18501.15,18260.55,18330.2
466,NIFTY PVT BANK,16 Jul 2021,18840.85,18840.85,18678.55,18710.0
467,NIFTY PVT BANK,15 Jul 2021,18731.05,18862.55,18669.0,18810.0
468,NIFTY PVT BANK,14 Jul 2021,18660.4,18768.15,18580.35,18694.0
469,NIFTY PVT BANK,13 Jul 2021,18605.3,18733.8,18524.55,18708.55
470,NIFTY PVT BANK,12 Jul 2021,18503.9,18562.85,18379.75,18454.0
471,NIFTY PVT BANK,09 Jul 2021,18431.65,18455.1,18257.3,18376.8
472,NIFTY PVT BANK,08 Jul 2021,18658.05,18775.55,18425.5,18499.65
473,NIFTY PVT BANK,07 Jul 2021,18619.2,18753.85,18549.95,18738.5
474,NIFTY PVT BANK,06 Jul 2021,18438.5,18732.7,18432.45,18635.85
475,NIFTY PVT BANK,05 Jul 2021,18378.5,18492.55,18346.7,18465.2
476,NIFTY PVT BANK,02 Jul 2021,18259.3,18325.85,18205.05,18274.2
477,NIFTY PVT BANK,01 Jul 2021,18332.9,18355.75,18214.7,18232.1
478,NIFTY PVT BANK,30 Jun 2021,18404.25,18523.4,18268.45,18293.5
479,NIFTY PVT BANK,29 Jun 2021,18571.7,18580.35,18347.75,18406.7
480,NIFTY PVT BANK,28 Jun 2021,18649.85,18695.9,18526.1,18599.15
481,NIFTY PVT BANK,25 Jun 2021,18357.35,18666.55,18357.35,18586.4
482,NIFTY PVT BANK,24 Jun 2021,18250.85,18385.35,18201.4,18335.75
483,NIFTY PVT BANK,23 Jun 2021,18397.8,18408.0,18166.9,18191.6
484,NIFTY PVT BANK,22 Jun 2021,18487.35,18589.65,18267.7,18308.9
485,NIFTY PVT BANK,21 Jun 2021,17983.95,18401.35,17906.35,18373.5
486,NIFTY PVT BANK,18 Jun 2021,18262.8,18303.9,17850.15,18209.7
487,NIFTY PVT BANK,17 Jun 2021,18223.85,18357.75,18116.8,18199.9
488,NIFTY PVT BANK,16 Jun 2021,18529.05,18615.8,18372.4,18416.9
489,NIFTY PVT BANK,15 Jun 2021,18412.35,18577.2,18352.55,18549.95
490,NIFTY PVT BANK,14 Jun 2021,18389.3,18389.3,18098.85,18352.7
491,NIFTY PVT BANK,11 Jun 2021,18616.1,18625.85,18371.1,18435.8
492,NIFTY PVT BANK,10 Jun 2021,18394.8,18528.4,18308.55,18511.8
493,NIFTY PVT BANK,09 Jun 2021,18527.95,18673.75,18264.7,18346.35
494,NIFTY PVT BANK,08 Jun 2021,18690.85,18697.2,18451.4,18506.95
495,NIFTY PVT BANK,07 Jun 2021,18616.95,18740.7,18561.55,18690.6
496,NIFTY PVT BANK,04 Jun 2021,18704.4,18771.75,18450.6,18523.35
497,NIFTY PVT BANK,03 Jun 2021,18640.4,18712.8,18559.65,18674.3
498,NIFTY PVT BANK,02 Jun 2021,18491.65,18565.85,18381.05,18543.05
499,NIFTY PVT BANK,01 Jun 2021,18750.5,18780.2,18489.2,18521.6
500,NIFTY PVT BANK,31 May 2021,18472.6,18724.75,18385.95,18694.9
501,NIFTY PVT BANK,28 May 2021,18549.25,18605.3,18386.8,18492.55
502,NIFTY PVT BANK,27 May 2021,18268.95,18491.05,18174.6,18433.7
503,NIFTY PVT BANK,26 May 2021,18329.85,18384.9,18169.4,18278.65
504,NIFTY PVT BANK,25 May 2021,18520.25,18536.65,18143.25,18278.95
505,NIFTY PVT BANK,24 May 2021,18364.4,18595.75,18228.25,18445.55
506,NIFTY PVT BANK,21 May 2021,17775.65,18350.1,17775.65,18310.7
507,NIFTY PVT BANK,20 May 2021,17837.05,17927.9,17643.8,17670.45
508,NIFTY PVT BANK,19 May 2021,17877.55,17982.4,17809.25,17847.85
509,NIFTY PVT BANK,18 May 2021,17937.35,18111.0,17896.7,17993.15
510,NIFTY PVT BANK,17 May 2021,17210.65,17744.75,17138.05,17722.9
511,NIFTY PVT BANK,14 May 2021,17244.6,17301.2,17031.2,17073.65
512,NIFTY PVT BANK,12 May 2021,17431.15,17455.6,17180.05,17222.6
513,NIFTY PVT BANK,11 May 2021,17403.6,17660.35,17390.6,17508.95
514,NIFTY PVT BANK,10 May 2021,17685.3,17748.25,17606.25,17669.95
515,NIFTY PVT BANK,07 May 2021,17656.05,17763.6,17508.0,17556.25
516,NIFTY PVT BANK,06 May 2021,17599.9,17628.55,17408.7,17532.3
517,NIFTY PVT BANK,05 May 2021,17425.2,17584.15,17183.85,17543.05
518,NIFTY PVT BANK,04 May 2021,17465.0,17664.1,17222.45,17274.45
519,NIFTY PVT BANK,03 May 2021,17318.65,17455.85,17104.1,17387.4
520,NIFTY PVT BANK,30 Apr 2021,17711.95,17927.45,17524.15,17582.45
521,NIFTY PVT BANK,29 Apr 2021,18083.7,18284.4,17759.95,18006.3
522,NIFTY PVT BANK,28 Apr 2021,17510.2,18008.6,17498.75,17973.8
523,NIFTY PVT BANK,27 Apr 2021,17188.45,17489.6,17157.35,17451.75
524,NIFTY PVT BANK,26 Apr 2021,17249.8,17375.3,17136.15,17211.9
525,NIFTY PVT BANK,23 Apr 2021,16782.3,17133.3,16717.6,16911.0
526,NIFTY PVT BANK,22 Apr 2021,16435.8,16946.8,16322.05,16918.35
527,NIFTY PVT BANK,20 Apr 2021,16856.25,16935.85,16507.95,16620.1
528,NIFTY PVT BANK,19 Apr 2021,16566.25,16709.25,16262.45,16656.5
529,NIFTY PVT BANK,16 Apr 2021,17187.05,17268.25,17044.8,17097.2
530,NIFTY PVT BANK,15 Apr 2021,17079.95,17190.65,16778.3,17157.35
531,NIFTY PVT BANK,13 Apr 2021,16539.2,17079.85,16450.05,17017.55
532,NIFTY PVT BANK,12 Apr 2021,16937.4,16980.65,16343.75,16481.95
533,NIFTY PVT BANK,09 Apr 2021,17477.4,17622.6,17311.55,17392.15
534,NIFTY PVT BANK,08 Apr 2021,17746.15,17824.3,17510.95,17553.0
535,NIFTY PVT BANK,07 Apr 2021,17415.45,17745.95,17211.3,17664.85
536,NIFTY PVT BANK,06 Apr 2021,17608.15,17674.9,17309.3,17398.75
537,NIFTY PVT BANK,05 Apr 2021,17993.2,18017.95,17267.2,17469.0
538,NIFTY PVT BANK,01 Apr 2021,17912.0,18141.4,17734.25,18093.0
539,NIFTY PVT BANK,31 Mar 2021,18047.8,18056.15,17715.4,17763.85
540,NIFTY PVT BANK,30 Mar 2021,18013.45,18199.2,17972.65,18099.25
541,NIFTY PVT BANK,26 Mar 2021,18019.4,18023.1,17767.65,17845.4
542,NIFTY PVT BANK,25 Mar 2021,17907.25,17987.5,17389.45,17699.15
543,NIFTY PVT BANK,24 Mar 2021,18158.15,18202.45,17785.2,17838.1
544,NIFTY PVT BANK,23 Mar 2021,18075.6,18400.15,17992.65,18305.9
545,NIFTY PVT BANK,22 Mar 2021,18255.0,18295.2,17890.85,17993.8
546,NIFTY PVT BANK,19 Mar 2021,17993.65,18424.3,17891.25,18305.8
547,NIFTY PVT BANK,18 Mar 2021,18547.85,18634.05,18008.6,18141.15
548,NIFTY PVT BANK,17 Mar 2021,18698.45,18811.15,18305.55,18356.55
549,NIFTY PVT BANK,16 Mar 2021,18924.35,18952.65,18614.9,18644.3
550,NIFTY PVT BANK,15 Mar 2021,19058.15,19058.15,18445.4,18828.6
551,NIFTY PVT BANK,12 Mar 2021,19555.55,19555.55,18876.6,19033.9
552,NIFTY PVT BANK,10 Mar 2021,19328.2,19371.4,19154.15,19250.75
553,NIFTY PVT BANK,09 Mar 2021,19085.75,19299.85,19022.8,19192.5
554,NIFTY PVT BANK,08 Mar 2021,18994.25,19180.1,18754.1,18857.6
555,NIFTY PVT BANK,05 Mar 2021,18978.95,19093.1,18704.35,18875.05
556,NIFTY PVT BANK,04 Mar 2021,18993.8,19445.65,18955.1,19178.2
557,NIFTY PVT BANK,03 Mar 2021,19089.75,19457.55,18987.7,19425.55
558,NIFTY PVT BANK,02 Mar 2021,18903.9,19049.3,18668.4,18906.1
559,NIFTY PVT BANK,01 Mar 2021,18858.4,18962.4,18638.95,18804.35
560,NIFTY PVT BANK,26 Feb 2021,19043.0,19106.85,18448.2,18551.75
561,NIFTY PVT BANK,25 Feb 2021,19535.2,19818.25,19431.3,19461.0
562,NIFTY PVT BANK,24 Feb 2021,18690.8,19432.15,18614.5,19366.05
563,NIFTY PVT BANK,23 Feb 2021,18885.25,18935.75,18571.65,18644.75
564,NIFTY PVT BANK,22 Feb 2021,19076.9,19216.4,18669.2,18732.8
565,NIFTY PVT BANK,19 Feb 2021,19235.95,19439.9,18936.65,19066.0
566,NIFTY PVT BANK,18 Feb 2021,19603.65,19603.65,19229.95,19366.9
567,NIFTY PVT BANK,17 Feb 2021,19756.55,19821.5,19528.3,19589.2
568,NIFTY PVT BANK,16 Feb 2021,19949.6,20068.55,19572.95,19777.35
569,NIFTY PVT BANK,15 Feb 2021,19440.25,19938.1,19387.6,19866.55
570,NIFTY PVT BANK,12 Feb 2021,19034.4,19351.4,19026.9,19228.7
571,NIFTY PVT BANK,11 Feb 2021,18981.4,19144.9,18951.4,19045.8
572,NIFTY PVT BANK,10 Feb 2021,19182.35,19273.4,18838.0,19029.8
573,NIFTY PVT BANK,09 Feb 2021,19188.25,19387.9,18977.55,19167.05
574,NIFTY PVT BANK,08 Feb 2021,19164.15,19381.3,19083.0,19133.05
575,NIFTY PVT BANK,05 Feb 2021,19050.8,19486.35,18895.65,18949.6
576,NIFTY PVT BANK,04 Feb 2021,18774.4,19128.5,18593.65,19080.5
577,NIFTY PVT BANK,03 Feb 2021,18754.75,18989.85,18476.7,18902.7
578,NIFTY PVT BANK,02 Feb 2021,18314.0,18851.15,18308.0,18587.6
579,NIFTY PVT BANK,01 Feb 2021,16912.55,18150.7,16886.25,18040.05
580,NIFTY PVT BANK,29 Jan 2021,16742.0,16965.0,16525.0,16694.3
581,NIFTY PVT BANK,28 Jan 2021,16260.0,16614.1,16215.95,16553.0
582,NIFTY PVT BANK,27 Jan 2021,17069.7,17087.3,16469.05,16524.35
583,NIFTY PVT BANK,25 Jan 2021,17266.65,17331.15,16951.95,17043.9
584,NIFTY PVT BANK,22 Jan 2021,17560.25,17584.65,17039.8,17063.75
585,NIFTY PVT BANK,21 Jan 2021,17918.0,18004.45,17522.95,17622.25
586,NIFTY PVT BANK,20 Jan 2021,17734.75,17853.35,17684.45,17799.65
587,NIFTY PVT BANK,19 Jan 2021,17546.5,17771.25,17426.95,17752.85
588,NIFTY PVT BANK,18 Jan 2021,17650.85,17701.0,17318.1,17401.35
589,NIFTY PVT BANK,15 Jan 2021,17785.2,17796.8,17534.15,17641.65
590,NIFTY PVT BANK,14 Jan 2021,17782.25,17912.65,17742.45,17782.1
591,NIFTY PVT BANK,13 Jan 2021,17885.2,17927.75,17631.45,17803.3
592,NIFTY PVT BANK,12 Jan 2021,17609.8,17868.05,17539.45,17784.05
593,NIFTY PVT BANK,11 Jan 2021,17859.1,17863.55,17615.8,17699.35
594,NIFTY PVT BANK,08 Jan 2021,17872.45,17872.45,17717.55,17756.05
595,NIFTY PVT BANK,07 Jan 2021,17738.25,17781.45,17634.7,17677.75
596,NIFTY PVT BANK,06 Jan 2021,17579.0,17649.05,17405.1,17547.05
597,NIFTY PVT BANK,05 Jan 2021,17094.25,17538.25,17027.75,17513.8
598,NIFTY PVT BANK,04 Jan 2021,17338.6,17338.6,17022.65,17181.65
599,NIFTY PVT BANK,01 Jan 2021,17268.75,17314.2,17177.55,17196.5
600,NIFTY PVT BANK,31 Dec 2020,17275.7,17328.6,17158.85,17251.75
601,NIFTY PVT BANK,30 Dec 2020,17379.25,17395.75,17112.25,17263.7
602,NIFTY PVT BANK,29 Dec 2020,17096.55,17310.25,17095.15,17288.2
603,NIFTY PVT BANK,28 Dec 2020,16862.15,17057.8,16855.25,17023.55
604,NIFTY PVT BANK,24 Dec 2020,16620.4,16858.4,16581.35,16777.8
605,NIFTY PVT BANK,23 Dec 2020,16333.95,16550.05,16265.8,16515.2
606,NIFTY PVT BANK,22 Dec 2020,16348.45,16408.0,15990.45,16358.45
607,NIFTY PVT BANK,21 Dec 2020,16906.95,16914.45,16119.1,16265.15
608,NIFTY PVT BANK,18 Dec 2020,17088.5,17095.35,16794.5,16961.7
609,NIFTY PVT BANK,17 Dec 2020,17040.6,17141.75,16964.85,17087.9
610,NIFTY PVT BANK,16 Dec 2020,17110.8,17117.95,16939.5,16999.6
611,NIFTY PVT BANK,15 Dec 2020,17023.5,17023.95,16777.45,16982.1
612,NIFTY PVT BANK,14 Dec 2020,16978.4,17043.85,16927.05,16986.8
613,NIFTY PVT BANK,11 Dec 2020,16884.15,17012.6,16741.25,16907.2
614,NIFTY PVT BANK,10 Dec 2020,16875.7,16928.6,16689.85,16854.0
615,NIFTY PVT BANK,09 Dec 2020,16737.1,17008.15,16728.3,16962.0
616,NIFTY PVT BANK,08 Dec 2020,16770.6,16780.9,16603.05,16685.7
617,NIFTY PVT BANK,07 Dec 2020,16661.35,16808.95,16603.5,16722.9
618,NIFTY PVT BANK,04 Dec 2020,16397.55,16711.65,16346.95,16648.1
619,NIFTY PVT BANK,03 Dec 2020,16537.05,16549.35,16283.05,16321.6
620,NIFTY PVT BANK,02 Dec 2020,16640.5,16645.75,16227.75,16402.55
621,NIFTY PVT BANK,01 Dec 2020,16615.05,16648.4,16414.95,16597.25
622,NIFTY PVT BANK,27 Nov 2020,16440.75,16515.45,16329.3,16473.1
623,NIFTY PVT BANK,26 Nov 2020,16331.55,16433.6,16060.55,16390.4
624,NIFTY PVT BANK,25 Nov 2020,16709.1,16793.85,16198.05,16232.9
625,NIFTY PVT BANK,24 Nov 2020,16298.45,16592.35,16263.0,16542.95
626,NIFTY PVT BANK,23 Nov 2020,16353.4,16391.6,16063.2,16166.85
627,NIFTY PVT BANK,20 Nov 2020,16086.1,16312.25,15872.85,16216.45
628,NIFTY PVT BANK,19 Nov 2020,16270.7,16449.0,16027.9,16081.05
629,NIFTY PVT BANK,18 Nov 2020,16159.8,16532.15,16132.2,16513.2
630,NIFTY PVT BANK,17 Nov 2020,16027.2,16225.55,15957.85,16195.8
631,NIFTY PVT BANK,14 Nov 2020,15964.15,16010.15,15827.7,15920.55
632,NIFTY PVT BANK,13 Nov 2020,15627.3,15885.5,15407.75,15846.5
633,NIFTY PVT BANK,12 Nov 2020,15908.9,15922.75,15596.55,15727.85
634,NIFTY PVT BANK,11 Nov 2020,16007.1,16126.25,15660.35,16018.75
635,NIFTY PVT BANK,10 Nov 2020,15639.65,16071.8,15554.85,15946.85
636,NIFTY PVT BANK,09 Nov 2020,15037.6,15398.8,15027.7,15371.2
637,NIFTY PVT BANK,06 Nov 2020,14550.95,14915.75,14467.3,14882.7
638,NIFTY PVT BANK,05 Nov 2020,14486.45,14597.45,14377.55,14574.35
639,NIFTY PVT BANK,04 Nov 2020,14168.75,14361.5,13951.7,14303.6
640,NIFTY PVT BANK,03 Nov 2020,13932.5,14286.2,13922.7,14246.2
641,NIFTY PVT BANK,02 Nov 2020,13515.7,13965.15,13398.95,13820.25
642,NIFTY PVT BANK,30 Oct 2020,13373.55,13470.45,13102.9,13258.0
643,NIFTY PVT BANK,29 Oct 2020,13357.0,13504.85,13226.55,13378.65
644,NIFTY PVT BANK,28 Oct 2020,13736.3,13772.85,13363.4,13454.7
645,NIFTY PVT BANK,27 Oct 2020,13456.1,13777.85,13250.45,13755.95
646,NIFTY PVT BANK,26 Oct 2020,13576.45,13604.8,13226.5,13338.8
647,NIFTY PVT BANK,23 Oct 2020,13641.2,13685.55,13466.25,13529.85
648,NIFTY PVT BANK,22 Oct 2020,13524.0,13660.1,13407.95,13534.6
649,NIFTY PVT BANK,21 Oct 2020,13530.8,13752.2,13338.4,13630.6
